Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
mit open course	6600	Low	11	0.346571	2.435371	8100	8100	8100	8100	6600	8100	8100	8100	8100	8100	8100	6600	8100	8100	8100	8100	6600	6600	8100	6600	6600	6600	8100	8100	8100	6600	8100	6600	8100	8100	8100	8100	6600	6600	8100	6600	6600	6600	6600	6600	8100	8100	8100	8100	6600	6600	6600	6600
mit open software	30	Low	5			10	20	20	20	20	40	20	20	20	30	30	20	20	10	20	20	20	20	20	20	20	20	30	30	30	20	20	20	20	20	30	20	30	20	20	20	30	20	20	30	70	30	20	20	20	20	30	20
mit opencourseware ai	1600	Medium	59	1.900748	12.880788	390	390	390	390	390	390	480	390	320	390	590	590	720	880	1000	1000	1000	1000	1000	880	1000	1000	1300	1300	1600	1300	1300	1300	1300	1000	1000	1300	1000	1300	1600	1600	1300	1300	1300	1600	1900	1900	1300	1300	1300	1300	1300	1300
mit opencourseware certificate	880	Low	6	0.35	3.017732	590	590	590	480	480	590	590	590	590	590	590	480	720	590	720	590	590	720	720	720	590	590	720	720	590	590	720	720	720	720	880	880	720	720	1000	720	720	720	720	720	880	880	880	590	720	1000	1000	1300
mit opencourseware com	20	Medium	33	0.096018	3.69	20	10	10	10	20	70	50	90	90	40	40	20	40	30	30	20	20	20	20	20	40	20	10	10	10	10	10	10	10	10	40	30	30	20	20	30	30	20	10	10	20	20	30	20	20	20	10	20
mit opencourseware computer science	720	Low	16	0.417803	2.551704	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1000	1300	1300	1300	1300	1300	1300	1300	1000	1000	1000	1000	1000	1000	880	1000	880	1000	1000	880	1000	880	880	1300	880	880	720	880	880	880	720	720	590	590	480	590	480
mit opencourseware lectures	140	Low	4	0.259999	1.17	90	110	90	90	90	70	90	110	90	90	90	90	90	90	110	70	90	110	140	140	110	110	140	110	140	140	110	110	90	110	110	140	90	90	90	110	170	110	140	110	140	140	140	170	140	170	170	140
mit opencourseware neuroscience	70	Low	8	0.585791	2.237442	70	40	50	50	40	40	30	50	50	50	50	50	50	40	50	70	50	50	50	50	50	50	50	70	50	70	90	70	40	70	90	50	40	70	90	110	90	70	70	110	70	70	70	70	70	90	90	70
mit opencourseware physics	1000	Low	4	0.313993	2.2	1000	1000	880	880	880	880	1000	1000	880	880	880	880	880	720	880	880	880	1000	880	880	880	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1300	1000	1300	1300	1000	1300	1300	1000	1000	1000	1000	1300	1000	880	1000	1000	880
mit opencourseware systems engineering	50	Low	13	0.703023	2.81	40	50	30	40	50	40	70	40	40	30	50	40	70	40	40	30	40	40	50	40	40	40	50	50	50	50	40	40	50	70	70	70	40	40	50	70	50	40	50	50	70	40	70	50	70	50	70	50
mit opencourseware website	110000	Low	10	0.350783	4.282879	74000	74000	74000	74000	74000	90500	90500	90500	90500	74000	90500	74000	90500	90500	90500	90500	90500	90500	90500	90500	90500	90500	90500	90500	90500	74000	90500	90500	90500	90500	110000	110000	110000	110000	110000	90500	90500	90500	90500	90500	110000	135000	135000	110000	90500	110000	110000	90500
mit power electronics	480	Low	5	0.518353	3.080194	140	140	140	170	140	170	170	170	210	140	170	170	170	170	170	140	140	170	210	210	170	170	170	170	210	210	170	170	590	720	720	720	590	590	590	590	590	480	480	480	480	480	590	480	480	480	480	480
mit pro	880	Medium	37	1.07	10.98	880	720	720	720	720	880	880	880	720	590	720	720	880	880	720	720	720	720	720	720	720	590	880	880	880	880	880	720	880	720	720	880	720	590	880	720	720	720	720	590	720	720	720	880	880	1000	880	1000
mit project management	260	Medium	53	1.321082	11.89	320	260	320	260	320	260	260	320	260	260	320	390	390	390	480	390	390	390	480	390	390	320	590	480	480	390	390	390	390	480	590	480	390	320	480	320	390	320	320	260	320	320	260	260	260	260	260	260
mit project management certificate	110	Low	30	3.3	13	140	140	140	140	140	170	140	140	140	140	110	140	170	140	170	170	170	210	170	170	210	170	260	260	210	210	170	140	210	210	260	320	170	110	140	90	140	140	140	90	140	140	90	50	70	90	90	210
mit project management course	30	High	67	2.024236	10.493731	20	30	20	20	30	20	30	30	40	40	50	40	30	30	40	40	50	50	70	40	40	40	50	50	40	50	40	70	40	40	40	30	30	20	30	30	30	30	20	20	40	30	40	40	40	20	30	30
mit project management simulation	70	Low	17	0.94	13	40	40	10	10	10	20	20	30	20	30	50	40	50	40	20	10	20	30	50	70	70	40	110	90	90	140	50	50	90	90	90	70	140	70	70	70	170	70	20	30	30	50	90	70	90	90	40	30
mit sdm	1000	Low	13	0.798499	5.12	1600	1300	1300	1000	1300	1300	1300	1300	1300	1300	1300	1300	1300	1000	1000	1000	1000	1300	1300	1300	1300	1300	1300	1300	1600	1300	1000	880	880	1000	1300	1300	1300	1300	1300	1600	1300	1000	1000	1000	880	1000	1000	1000	1000	1300	1300	1600
mit sloan system dynamics	40	Low	16	1.414627	12.33	30	30	30	40	20	40	40	30	40	40	40	20	40	10	20	20	30	30	30	30	40	40	40	50	30	30	30	30	20	40	70	50	40	30	30	50	40	40	30	30	30	30	50	30	50	50	50	30
mit summer engineering program	20	Medium	47	1.253271	4.650251	30	10	10	10	10	10	10	10	20	10	40	30	30	10	20	10	10	20	10	20	20	20	30	20	10	20	20	10	10	10	10	20	20	40	40	30	30	20	20	20	10	10	10	10	30	30	50	40
mit summer opportunities	10	Low	13			10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	0	10	10	10	10	10	10
mit summer program	2400	Medium	48	1.05328	5.21	3600	3600	2900	2400	2400	1600	1600	1900	2400	2900	5400	4400	4400	3600	2900	2400	2900	1900	1600	2400	2900	3600	5400	3600	3600	3600	2400	2400	2400	1900	1900	2400	2900	3600	5400	3600	3600	2900	2400	2400	1900	1600	1300	1600	2400	2900	3600	2400
mit supply chain course	90	Medium	61	0.985357	7.775962	70	90	90	90	90	90	50	50	90	30	70	50	70	50	90	70	70	70	70	70	70	70	110	140	110	90	90	90	110	110	90	110	70	90	90	90	90	110	90	140	110	90	90	90	90	90	90	110
mit system architecture	20	Medium	34	0.898878	12.304955	30	30	30	20	30	30	30	30	30	20	40	30	40	40	40	20	20	40	40	30	20	30	30	30	40	30	10	30	20	30	50	30	30	20	30	20	40	20	20	20	30	20	40	20	30	30	10	20
mit system dynamics	260	Low	16	1.234442	7.87	320	260	320	260	320	320	320	320	320	260	260	260	260	260	260	260	260	260	320	320	320	320	390	320	320	320	260	210	260	320	390	320	320	320	320	260	320	260	260	260	210	260	260	210	260	260	320	320
mit system dynamics group	30	Low	7			20	10	20	20	10	20	20	30	10	10	20	20	10	30	20	20	20	40	20	20	20	20	30	30	30	20	20	20	20	30	30	30	30	20	20	30	30	30	20	20	20	20	20	20	20	20	40	40
mit system thinking	210	Medium	59	1.26616	6	210	260	170	170	170	210	210	170	170	210	260	170	260	210	170	140	170	260	260	210	210	260	320	320	320	210	170	170	170	170	260	390	390	210	480	210	210	260	140	110	170	260	260	210	260	210	260	260
mit systems	260	Low	5	1.28	5.381166	320	210	210	260	210	260	320	260	320	210	320	260	260	260	260	320	210	260	260	260	210	210	320	260	260	320	260	210	210	210	260	210	210	260	210	170	260	210	260	260	170	260	320	260	260	210	210	210
mit think	1600	Low	2	1	4	260	260	210	260	480	480	480	590	1300	2400	2900	720	590	480	390	480	720	720	720	880	1600	2900	2900	880	480	480	480	590	590	720	720	1300	1600	3600	4400	880	720	590	1000	880	720	720	720	1000	3600	4400	3600	1300
mit think scholars program	1000	Low	15	0.776297	3.864937	140	170	140	170	210	260	260	260	390	590	590	320	320	320	210	260	260	260	260	260	480	880	590	390	320	390	320	320	480	480	390	720	880	1300	1300	590	720	720	1000	880	880	880	720	720	1600	1900	1600	880
mit university courses	1000	Medium	35	0.413239	1.35	2400	2400	2900	2900	3600	3600	2900	2400	2400	1900	2400	1900	2400	1900	1900	2400	2400	2400	2400	1900	1900	1900	2400	2900	2400	2400	2400	2400	2400	1900	2400	1900	1600	1600	1900	1600	1600	1300	1000	1300	1300	1000	880	880	1000	880	1000	880
mit website	1900	Low	12	0.328747	2.27	1600	1600	1600	1600	1600	1900	1900	1900	1900	1600	1900	1600	1900	1600	1600	1900	1900	1900	1900	2400	1900	1600	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1600	1600	1900	1600	1900	1900	2400	1600	1900	1900	2400	1900	1600	1900	1900	1900
mit xpro courses	480	Medium	55	1.2382	11.745465	90	70	70	50	50	70	70	70	90	70	70	50	70	90	70	70	90	90	90	140	140	140	210	260	260	320	260	320	390	1000	2400	390	590	320	720	390	480	390	390	480	480	480	480	390	390	320	480	480
mit xpro project management	30	High	71	2.169028	13	0	0	0	0	0	0	0	0	0	0	0	0	30	50	30	50	30	30	40	30	30	30	50	70	30	40	40	40	170	140	70	50	70	50	50	30	40	50	50	30	30	30	30	30	30	20	30	40
mites summer program	4400	Low	22	1.08605	4.159999	590	480	320	320	320	390	320	390	720	1000	4400	1900	1300	1600	880	880	880	880	720	1000	1900	2400	5400	2900	2400	2900	1300	1600	1600	1300	1300	1600	2400	3600	6600	2900	2900	4400	1900	1900	2400	1600	1600	2400	3600	6600	14800	8100
mitx on edx	480	Medium	37	0.68	3.56	390	390	390	320	320	390	390	390	210	210	320	170	260	260	260	260	210	210	210	210	210	210	260	320	260	260	320	260	320	320	320	320	260	260	390	260	320	390	320	390	480	590	480	390	320	390	480	480
mitx online courses	170	Low	27	0.99	4.98767	30	50	70	70	70	70	90	70	70	70	70	50	70	70	70	50	50	70	70	50	40	70	70	110	90	50	90	90	70	70	140	50	320	210	210	70	90	90	210	140	260	210	110	210	260	110	140	140
modeling complex systems	210	Low	4			390	320	390	320	320	260	480	390	390	320	320	390	390	390	320	320	260	320	480	390	320	320	390	390	390	320	320	320	320	260	390	390	260	320	260	260	320	260	260	210	170	210	260	210	210	170	210	210
monitoring and evaluation course	4400	Medium	38	0.122491	1.09632	3600	3600	4400	4400	4400	4400	4400	4400	4400	3600	5400	4400	4400	4400	5400	4400	4400	5400	5400	5400	5400	4400	6600	5400	5400	5400	5400	5400	5400	5400	4400	5400	4400	3600	5400	3600	3600	3600	3600	14800	3600	2900	4400	2900	2400	2400	3600	2900
mooc gestion de projet	1000	Medium	35	0.440029	1.993474	2400	1600	1300	1300	1000	1300	2400	2400	1900	1300	1600	1600	2900	1600	1300	1300	1000	1000	1900	2400	1900	1300	1600	1600	1900	1900	1300	1000	1000	880	1600	1900	1600	1000	1300	1300	1900	1300	880	880	880	880	1600	1600	1300	720	880	880
moocs courses	27100	Low	27	0.22	2.23	22200	22200	22200	22200	27100	22200	27100	22200	27100	22200	27100	22200	27100	22200	33100	27100	27100	33100	33100	27100	27100	27100	33100	27100	22200	27100	27100	27100	27100	27100	33100	33100	27100	22200	33100	27100	27100	22200	22200	22200	27100	27100	27100	22200	27100	22200	27100	22200
moodle learn	1600	Low	7	1.21	7.481502	1600	1300	1300	880	880	1000	1300	1600	1600	1000	1300	1300	1300	1000	1000	1000	880	880	1300	1600	1300	880	1300	1300	1600	1300	1300	1000	880	880	1300	1300	1000	1000	1300	1000	1600	1300	1300	880	880	1600	2900	2400	1900	1300	1900	1300
moodle learning management system lms	20	Low	26	0.607695	6.6147	10	10	10	20	10	10	10	10	20	10	10	10	10	10	20	10	10	10	20	10	10	10	10	10	10	20	10	10	10	20	20	10	10	20	30	20	20	10	10	10	10	10	20	40	40	10	30	20
moodle training courses	110	Low	31	1.505542	10.14	210	170	170	140	210	210	140	140	140	110	170	140	170	140	110	110	170	170	140	210	140	110	170	170	170	140	140	110	140	140	90	140	110	110	140	170	110	140	140	140	140	110	140	110	90	90	110	90
mostec summer program	70	Low	30	1.788877	4.262867	260	590	170	40	70	90	90	70	170	210	170	90	90	70	70	70	170	110	170	110	110	210	210	110	90	110	40	40	30	40	30	30	90	140	210	110	110	110	50	70	70	30	30	40	70	110	140	50
mygreatlearning	4400	Medium	36	0.511629	3.692705	1600	1600	1900	6600	9900	8100	8100	8100	9900	8100	12100	8100	8100	8100	8100	12100	14800	12100	12100	9900	12100	12100	12100	12100	14800	9900	9900	8100	9900	8100	6600	5400	5400	5400	5400	4400	4400	3600	3600	4400	4400	5400	4400	4400	3600	2900	4400	3600
nanodegree	5400	Medium	47	0.1	1.175	5400	5400	4400	4400	4400	4400	4400	3600	3600	2900	4400	3600	3600	2900	3600	2900	2900	2900	2900	2900	2900	2400	2900	2900	2400	2400	2400	2400	2900	2900	2400	2900	2900	2900	2900	2400	2900	2900	5400	5400	4400	3600	2900	2900	2400	9900	14800	5400
nanodegree program	260	Medium	38	0.1	7.799007	320	210	320	320	320	480	390	390	320	260	260	210	210	170	210	170	170	170	170	170	210	210	210	170	170	170	170	170	170	210	210	210	210	210	210	170	140	170	260	390	320	320	260	170	170	210	260	170
network models	6600	Low		0.338263	7.73	12100	9900	9900	9900	8100	8100	12100	12100	12100	9900	9900	9900	12100	8100	9900	8100	8100	8100	9900	9900	9900	8100	9900	9900	9900	8100	8100	6600	6600	6600	8100	8100	8100	8100	8100	6600	8100	6600	6600	5400	5400	5400	6600	6600	6600	5400	5400	5400
nita courses	1600	Low	1	0.129999	3.2	2400	2400	2900	2400	2400	1900	2400	2400	2400	1900	3600	3600	2900	2400	2400	2900	2400	2400	2900	2400	2400	2400	3600	2900	2400	1900	2400	2400	1900	1600	1300	1600	1000	1300	2900	1900	1600	1600	1900	1600	1900	1600	1600	1300	1000	1300	2400	1600
nptel	550000	Low	1	0.32	0.89288	368000	246000	201000	201000	368000	450000	368000	301000	301000	301000	550000	550000	368000	301000	301000	301000	550000	673000	450000	368000	301000	301000	673000	673000	450000	450000	301000	301000	823000	823000	450000	368000	368000	368000	823000	673000	450000	368000	368000	368000	1000000	1000000	550000	450000	368000	368000	823000	823000
nptel courses	60500	Low	4	0.25	0.794866	40500	33100	33100	40500	74000	60500	40500	33100	33100	49500	110000	60500	60500	40500	40500	60500	135000	90500	49500	49500	40500	60500	110000	74000	40500	40500	40500	49500	110000	74000	49500	40500	40500	60500	110000	74000	49500	40500	49500	60500	135000	90500	49500	49500	40500	60500	110000	60500
nptel online courses	18100	Low	7	0.376661	1.80516	22200	14800	12100	12100	27100	33100	18100	14800	12100	14800	27100	27100	18100	14800	9900	14800	33100	33100	18100	12100	9900	14800	27100	27100	14800	12100	12100	12100	33100	27100	14800	12100	9900	14800	27100	22200	14800	12100	12100	14800	40500	33100	14800	14800	9900	12100	22200	18100
ocw	49500	Low	1	0.39	4.008412	74000	60500	49500	60500	22200	40500	49500	60500	60500	40500	27100	40500	49500	40500	49500	33100	22200	49500	90500	110000	74000	74000	33100	49500	49500	40500	40500	33100	33100	33100	49500	60500	49500	40500	22200	40500	60500	49500	49500	40500	22200	40500	74000	60500	49500	40500	27100	40500
ocw courses	90	Low	28	0.69	4.314122	110	140	110	110	110	140	170	170	140	140	260	90	110	110	170	110	110	210	260	260	320	390	170	170	260	170	90	90	210	210	260	210	170	140	110	90	110	140	90	140	90	90	90	90	90	90	90	110
ocw mit edu courses	1300	Low	29	0.444834	3.673862	880	880	590	880	1600	8100	8100	12100	6600	4400	2900	2400	4400	2400	4400	3600	2400	2400	2400	2400	2400	1600	1600	1600	1000	1000	880	1000	1900	1600	2400	2400	2400	1300	1600	1300	1000	1300	1000	1900	1300	1600	1600	880	1000	880	720	1000
ocw mit edu index htm	10	Low				20	10	10	10	20	40	50	50	50	40	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	20	10	10
ocw mit linear algebra	2400	Low	2	0.319076	2.7	1300	1600	1600	1600	1600	1600	1600	1600	1300	1600	1600	1300	1600	1300	1900	1600	1600	1600	1600	1600	1600	1900	1900	1600	1900	1900	2400	2400	2400	1900	2400	2400	1900	1900	2400	2400	2400	4400	2400	1900	2400	1900	2400	1900	1900	1900	2400	1900
odin project	40500	Low	4	0.414714	5.71	60500	49500	60500	74000	74000	74000	74000	60500	60500	60500	74000	60500	60500	49500	60500	60500	74000	74000	60500	60500	60500	49500	60500	60500	49500	49500	49500	60500	60500	60500	60500	49500	49500	40500	49500	49500	49500	40500	49500	49500	49500	49500	40500	33100	33100	33100	33100	33100
odin project certificate	110	Low	4	1.381917	2.63	140	140	140	170	210	210	170	170	170	140	170	140	170	140	210	170	170	170	210	210	140	170	210	170	140	170	110	210	170	140	170	140	140	140	140	110	170	110	90	140	110	110	90	110	70	90	90	70
office management course	4400	Low	30	0.42	4.436254	4400	3600	4400	6600	5400	5400	5400	4400	4400	3600	5400	4400	5400	4400	5400	8100	8100	6600	5400	4400	5400	4400	6600	5400	6600	5400	8100	8100	8100	6600	5400	6600	5400	3600	6600	4400	4400	5400	5400	5400	5400	4400	5400	4400	3600	4400	4400	3600
online business management courses	1900	Medium	34	1.675018	25.335528	1300	1300	1600	1600	1600	1900	1600	1600	1600	1300	1900	1300	6600	1600	1900	1600	1600	1600	1600	1900	1900	1900	2900	2400	5400	22200	1900	2400	2900	1900	1600	2400	2400	1900	2900	1900	2900	2400	1900	1900	1900	1600	1900	1300	1300	1000	1600	1600
online business management courses south africa	110	High	69	0.634813	2.402145	170	110	170	110	140	140	110	110	110	70	170	170	140	110	110	110	90	110	90	140	90	70	140	90	90	110	110	110	110	90	110	90	90	90	140	110	70	50	110	70	110	70	110	170	90	110	210	110
online certificate	9900	Medium	48	1.001385	10.56	9900	8100	9900	9900	9900	9900	9900	8100	8100	8100	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	9900	12100	9900	9900	9900	12100	12100	12100	9900	9900	9900	9900	8100	9900	8100	12100	9900	9900	9900	9900	9900	9900	8100	8100	8100	8100	8100
online class with certificate	90	Medium	63	0.540759	6.34	50	40	30	40	50	30	70	70	70	70	110	70	110	70	110	110	110	140	140	110	90	70	110	110	70	90	110	90	90	110	110	90	90	90	90	90	110	90	90	90	90	90	110	90	70	90	90	70
online coding classes with certificate	10	Low	14			20	10	10	20	20	20	30	20	20	30	30	20	20	20	10	30	20	40	20	10	10	20	20	20	20	20	20	20	10	20	10	10	10	10	10	10	10	10	20	20	20	10	10	10	10	10	10	10
online computer courses certificate	2400	Medium	44	0.23	1.11	2400	2400	2900	2900	3600	3600	3600	2400	2900	2400	2900	2900	3600	2900	2900	2400	2900	2900	3600	2900	2400	2900	2400	2400	2900	2900	2900	3600	3600	2900	2400	1900	1900	1600	2400	1900	2400	2400	2400	2400	2400	2400	1900	1600	1900	1900	2400	2900
online computer science courses	9900	Low	12	0.567026	13.48	3600	3600	4400	4400	4400	4400	4400	3600	3600	3600	4400	3600	4400	4400	4400	4400	4400	4400	4400	4400	3600	3600	6600	5400	6600	14800	5400	4400	4400	4400	4400	4400	5400	5400	5400	4400	6600	5400	6600	6600	12100	8100	12100	6600	8100	6600	22200	12100
online computer studies	170	Medium	60	0.229358	1.690806	110	110	140	140	110	140	140	140	140	170	210	170	170	140	110	110	140	390	210	260	170	210	390	260	260	140	260	170	170	140	140	140	140	140	170	170	170	170	140	170	210	170	210	140	170	170	210	140
online computer training	320	Low	20	0.27	4.348436	480	320	480	480	390	590	480	480	390	390	390	320	480	480	480	390	390	390	390	390	320	320	390	390	390	390	390	320	390	390	320	320	390	260	390	390	480	390	320	320	320	320	320	320	260	320	320	480
online course agile project management	320	Low	23	1.571361	9.535324	210	210	260	260	260	480	260	260	320	260	390	320	390	390	320	320	320	260	320	390	260	210	320	260	260	320	210	210	260	210	260	170	170	170	320	880	1000	480	320	210	110	170	880	210	90	90	210	320
online course in project planning and management	10	High	69	0.319114	3.197952	20	20	10	30	30	40	30	30	40	20	30	30	30	30	30	30	30	20	20	10	20	20	20	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
online course management system	210	Low	18	0.685808	13.417927	140	90	110	110	90	140	110	90	90	110	110	110	110	90	110	50	70	110	70	70	50	70	110	140	90	110	70	70	720	880	110	110	70	140	140	210	260	260	720	140	110	260	210	140	140	170	90	110
online course systems thinking	10	Low	18			10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	0	10	10	10	10	20	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10
online courses for plc programming	40	Medium	60	0.71	6.5	30	30	30	30	40	40	30	30	30	40	30	20	20	20	30	30	30	20	30	30	20	20	20	30	20	20	10	20	20	10	20	10	20	20	20	20	40	30	30	40	70	50	30	40	70	20	30	10
online courses for project management	8100	Medium	50	1.212908	12.011089	6600	6600	6600	6600	6600	8100	6600	6600	6600	5400	8100	6600	8100	6600	8100	6600	6600	6600	6600	8100	9900	9900	9900	8100	8100	8100	8100	8100	9900	6600	6600	8100	9900	6600	9900	9900	12100	8100	8100	6600	8100	6600	9900	6600	6600	5400	8100	6600
online courses in mit	8100	Medium	48	0.92	5.339584	9900	9900	9900	9900	9900	9900	9900	9900	9900	8100	12100	9900	9900	9900	12100	12100	12100	12100	9900	9900	9900	9900	14800	14800	12100	9900	14800	22200	33100	18100	18100	9900	49500	22200	22200	9900	8100	8100	9900	9900	9900	9900	8100	8100	6600	6600	6600	6600
online design thinking courses	170	Low	27	0.541693	6	260	260	260	260	260	260	260	260	260	210	320	260	320	260	260	170	170	210	210	210	170	210	210	260	170	260	260	210	210	260	260	210	260	260	260	210	210	170	210	210	170	170	170	110	110	140	170	260
online diploma courses in kenya	110	Medium	43	0.11092	0.954847	110	110	140	170	140	140	170	170	140	140	210	170	140	110	170	140	140	140	170	110	90	140	140	140	140	110	110	110	140	140	110	110	90	90	170	110	70	70	110	110	110	110	110	110	140	90	140	90
online erp course	50	Low	25	0.246192	1.802199	30	20	10	20	20	20	20	20	20	20	20	20	10	10	10	20	20	30	30	30	20	20	10	20	10	10	20	20	20	10	10	20	40	20	20	20	90	40	50	40	70	40	70	40	50	30	20	30
online it courses in pakistan	90	Medium	39	0.041037	0.458375	50	40	90	140	110	110	90	70	90	90	70	110	70	50	110	140	170	210	140	110	110	110	140	140	140	140	210	140	170	110	90	70	90	70	90	110	90	140	140	110	140	90	50	90	70	70	90	70
online it courses with certificate	1300	Medium	41	0.421609	8.535002	1000	1000	1000	1300	1600	1600	1000	1000	1300	1000	1600	1300	1600	1000	1600	1600	1600	1300	1000	1300	1300	1300	1600	1000	1000	1000	1300	1600	1600	1300	720	720	720	1000	2400	1000	1300	1600	1000	1000	1000	1000	2900	1000	1000	1000	1300	1600
online learning software	1000	Low	20	0.756544	16.231689	590	590	720	720	480	880	480	590	590	590	880	480	720	1300	880	390	390	390	320	390	390	320	320	320	390	390	480	390	390	320	320	390	320	480	880	720	1300	1000	1900	1300	1300	1300	1300	1000	1000	390	880	170
online management courses	6600	Medium	53	1.626016	12.88	8100	8100	9900	9900	8100	9900	8100	8100	8100	8100	9900	8100	9900	9900	9900	9900	9900	9900	9900	9900	12100	12100	9900	8100	9900	9900	9900	8100	8100	6600	6600	8100	9900	9900	9900	8100	14800	9900	6600	5400	8100	6600	6600	5400	4400	4400	6600	5400
online management information system	40	Low	29	0.974056	16.916424	140	90	90	90	70	70	70	70	90	50	70	70	50	70	50	70	70	50	90	70	90	70	70	70	50	70	90	70	40	70	70	50	50	70	70	70	90	70	30	30	40	30	30	20	10	30	40	30
online mechanical engineering courses	2400	Medium	49	0.41687	4.528057	1900	1900	2400	2400	2400	2400	2400	1900	1900	1900	2400	1900	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2900	2400	2400	2400	2900	2400	2900	2400	2400	2400	2400	2400	2900	2400	2900	2400	2900	2400	2900	2900	2400	2400	1900	1900	2900	1900
online project management certification	5400	Low	17	2.867811	16.719193	2400	2400	2900	2900	2400	2900	2400	2400	2400	2400	3600	2900	3600	3600	3600	2900	2900	2900	2900	3600	3600	3600	3600	2900	3600	3600	3600	3600	5400	4400	5400	4400	3600	2900	3600	2900	5400	4400	4400	6600	6600	4400	4400	6600	3600	3600	5400	8100
online project management courses with certificates	30	High	73	1.518177	7.058065	10	10	10	10	20	10	20	20	20	20	40	20	20	20	40	30	20	20	30	10	20	30	30	30	20	30	30	20	20	30	20	20	20	20	40	40	20	40	30	40	30	40	40	30	20	10	40	40
online retail management courses	390	Medium	55	0.755418	6.155784	320	390	390	480	480	590	480	390	390	390	480	390	480	390	390	390	320	390	390	320	320	260	320	390	390	390	390	390	390	390	320	390	320	390	390	320	480	390	480	390	390	390	480	390	320	260	320	320
online short courses with certificate	1900	Medium	63	0.346114	2.835425	1000	1000	1300	1600	1600	1900	1900	1900	1900	1600	2400	1900	2400	1900	1900	1900	1900	1900	1600	1600	1900	1600	2400	1900	1600	1600	1900	1900	2400	2900	1900	1900	1900	1600	3600	2400	2400	2400	2400	1900	1900	1900	2400	1900	1600	1300	2400	1900
online software training courses	110	Low	5	0.647328	17.32	110	140	140	140	140	260	140	140	140	90	110	140	140	140	140	90	110	140	140	170	210	140	110	90	140	110	110	70	90	70	90	70	70	90	140	140	170	210	170	90	90	30	210	110	70	40	50	170
online stanford courses	2400	Medium	39	0.42	3.438794	2900	2900	2900	2900	2900	2900	2900	2900	2900	2400	3600	2900	2900	3600	2900	2900	2900	2900	2900	2400	2400	2900	3600	3600	2900	2900	2900	4400	5400	4400	3600	2400	2400	2400	2900	2900	2400	2400	2400	2400	2400	2400	1900	1900	1900	1600	1900	1900
online tech skills	30	Medium	36			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	50	40	30	40	30	70	50	40	40	40	30	50	40	50	40	40	30	70	30	50	40	40	30	30	30	20	20	20	20	20	10
online training courses with certificates	70	High	68	0.68	8.965786	70	50	70	50	50	90	40	30	30	40	50	50	70	30	50	40	50	50	70	70	70	50	110	40	40	50	90	50	70	70	50	90	70	70	90	90	90	90	70	70	50	50	50	40	50	70	70	50
online training project management	8100	Medium	50	1.212908	12.011089	6600	6600	6600	6600	6600	8100	6600	6600	6600	5400	8100	6600	8100	6600	8100	6600	6600	6600	6600	8100	9900	9900	9900	8100	8100	8100	8100	8100	9900	6600	6600	8100	9900	6600	9900	9900	12100	8100	8100	6600	8100	6600	9900	6600	6600	5400	8100	6600
online workshop with certificate	590	Medium	62	0.26652	1.429836	320	320	390	390	390	590	590	590	720	590	590	590	720	720	880	880	880	720	1000	720	590	720	880	880	880	880	1000	880	880	880	1000	880	720	720	880	880	880	720	590	720	720	720	590	480	320	320	390	390
